Id;Categoría;Requerimiento Detallado;Estado Actual;Observaciones
1;Mapa y Trazado Automático;El sistema debe integrarse con un motor de ruteo (ej. OSRM) para que, al trazar puntos en el mapa, la polilínea se ajuste automáticamente a la geometría de las calles y vías reales (Routing).;Completado;
2;Mapa y Trazado Automático;"En caso de falla o falta de cobertura del motor de ruteo, el sistema debe tener un mecanismo ""fallback"" para unir los puntos trazados mediante líneas rectas sin bloquear al usuario.";Completado;
3;Mapa: Gestión de Waypoints;"El sistema debe mantener un historial en memoria de los ""waypoints"" (puntos de anclaje reales cliqueados por el usuario) separado de los puntos interpolados por el ruteo.";Completado;
4;Mapa: Función Deshacer;"La función ""Deshacer Punto"" debe restaurar la geometría exacta de la polilínea al estado previo al último clic, eliminando también la interpolación de calles generada por ese tramo.";Completado;
5;Mapa: Sugerencias Inteligentes (Snapping);Al hacer clic en el mapa durante el trazado, el sistema debe calcular la distancia geoespacial (Haversine) contra todas las paradas registradas en el catálogo global.;Completado;
6;Mapa: Sugerencias Inteligentes (Snapping);Si un clic de trazado ocurre a menos de una distancia de umbral (ej. 50 metros) de una parada existente, se debe mostrar un popup/tooltip sugiriendo acoplarse a esa parada en lugar de crear una nueva.;Completado;
7;Catálogo Global de Paradas;"La vista debe incluir una pestaña ""Paradas"" que liste el catálogo global de puntos topográficos de la ciudad, independientemente de si están en uso o no por una ruta.";Completado;
8;Catálogo Global de Paradas;"El sistema debe permitir la creación de paradas ""huérfanas"" haciendo clic directo en el mapa, lo cual congela un marcador y despliega un formulario lateral para asignar nombre y guardar en base de datos.";Completado;
9;Catálogo Global de Paradas;Se debe permitir la eliminación de paradas del catálogo global, con validación de backend que prevenga el borrado si la parada ya pertenece a la topología de alguna ruta.;Completado;
10;Gestión de Paradas por Ruta;Cada ruta debe contar con un modal dedicado (accesible mediante el botón ??) para gestionar exclusivamente la secuencia de paradas que la conforman.;Completado;
11;Gestión de Paradas por Ruta;Dentro del modal, el usuario debe poder agregar nuevas paradas a la ruta seleccionándolas desde un listado desplegable que consulta el catálogo global.;Completado;
12;Gestión de Paradas por Ruta;"Dentro del modal, se debe permitir ""desvincular"" una parada de la secuencia de la ruta, sin que esta acción elimine la parada del catálogo global de la base de datos.";Completado;
13;Ordenamiento de Secuencia (UX);El sistema debe proporcionar una interfaz (arrastrar y soltar, o botones de subir/bajar) para modificar el orden lógico de las paradas dentro de la ruta.;Completado;
14;Ordenamiento de Secuencia (Integridad BD);"Al guardar un nuevo orden, el sistema debe hacer una consulta fresca a la BD para calcular órdenes temporales y prevenir violaciones de ""constraints"" durante las actualizaciones secuenciales (evitar choques de índices).";Completado;Logica en routeUtils.js
15;Metadatos de Ruta;El formulario de ruta debe permitir capturar y persistir atributos operacionales específicos: Color de renderizado (selector hex), Hora de primer viaje, Hora de último viaje, y si es ruta circular.;Completado;
16;Mapa: Enfoque de Ruta (Focus);"La interfaz debe poseer un modo de ""Enfoque"" (botón ??) que oculta todas las demás polilíneas del mapa y ejecuta un auto-zoom (fitBounds) para encuadrar la ruta seleccionada con un padding adecuado.";Completado;
17;Mapa: Marcadores de Secuencia;"Al entrar en modo ""Enfoque"", el mapa debe renderizar marcadores iconográficos dinámicos para cada parada, los cuales deben contener en su interior el número de orden secuencial.";Completado;
18;Mapa: Estilos Dinámicos de Secuencia;Los marcadores numerados deben tener diferenciación visual: color distintivo (ej. Verde) para la primera parada, otro (ej. Rojo) para la última, y el color propio de la ruta para las intermedias.;Completado;
19;Mapa: Popups de Parada Enfocada;Al hacer clic en un marcador de la ruta enfocada, el mapa debe abrir un popup detallando: Número de orden, Nombre de la parada, Coordenadas lat/lng, y el nombre de la ruta a la que pertenece.;Completado;
20;Mapa: Capa de Flota Activa;El mapa de control de rutas debe ser capaz de superponer una capa con marcadores que representan la ubicación GPS de los buses que se encuentran actualmente operando turnos activos.;Completado;
21;Mapa: Interacción con Flota;Los marcadores de los buses en el mapa deben mostrar mediante popups o tooltips la información del bus (placa/código) al interactuar con ellos.;Completado;
