Id;Atributo de Calidad;Requerimiento No Funcional Detallado;Estado Actual;Observaciones
1;Rendimiento y Eficiencia (UI);Los objetos nativos del motor de mapas (instancias Leaflet, Polilíneas, Marcadores) deben aislarse de la reactividad profunda del framework frontend (Vue) para evitar el colapso de la memoria RAM y garantizar 60 FPS durante paneos y zooms con múltiples rutas activas.;Completado;Variables globales let en lugar de ref() en MapComponent.vue
2;Integridad Concurrente (Transaccionalidad);El sistema debe mitigar las condiciones de carrera (race conditions) durante el reordenamiento de paradas. Los índices de ordenamiento temporal y definitivo deben calcularse dinámicamente frente al estado más "fresco" de la base de datos (y no contra la caché de la UI) justo en el instante previo a la escritura.;Completado;Lógica de sync y temp_order en routeUtils.js
3;Resiliencia y Tolerancia a Fallos;La interfaz de dibujo no debe experimentar un bloqueo total (bloqueo del hilo principal) si el servicio externo de enrutamiento OSRM falla, tiene latencia alta o arroja HTTP 500. El sistema aplicará un "degrade elegante" uniendo puntos de forma rectilínea.;Completado;Try/catch con fallback a línea recta implementado en fetch de OSRM
4;Seguridad de Datos Espaciales;El almacenamiento persistente (PostgreSQL) debe asegurar mediante tipado estricto (PostGIS) y constraints que las rutas solo acepten geometrías de tipo LineString (SRID 4326) y las paradas solo tipo Point, previniendo corrupción de datos espaciales o inyecciones malformadas.;Completado;Restricciones GEOMETRY(LineString, 4326) en bd_bucarabus.sql
5;Mantenibilidad y Arquitectura Front;El estado operacional maestro de las rutas (datos crudos, visibilidad por capas, identificador de ruta enfocada) debe gestionarse centralizadamente mediante un Store Global (Pinia), permitiendo que el visor GIS actúe puramente como un consumidor reactivo de dicho estado.;Completado;Gestión central en src/stores/routes.js y watchers en MapComponent
6;Usabilidad y Feedback Asíncrono;Toda transacción de red que modifique la topología de la ruta o el catálogo de paradas debe inhibir la interacción repetida del usuario mediante indicadores de carga (loaders/spinners) y notificar el éxito o fracaso explícitamente mediante componentes Toast/Alert.;Parcial;Funcionalidad básica existente, pero algunos fallos silenciosos aún requieren mejora de UI
7;Consistencia de Datos Relacionales;El modelo de datos debe garantizar la Normalización: la modificación de los metadatos de un "Punto de Parada" (ej. editar el nombre de la parada X) debe reflejarse automáticamente en la UI de todas las rutas que hagan uso de dicha parada, al existir una única fuente de verdad (catálogo global).;Completado;Relación N:M en tab_route_points_assoc
8;Seguridad y Sanitización de Inputs;Los metadatos visuales ingresados por el usuario, como el Color Representativo de la ruta, deben ser validados estrictamente a nivel Backend y Base de Datos (ej. Regex constraint para formato Hexadecimal #RRGGBB) para evitar el almacenamiento de cadenas ejecutables o malformadas que quiebren el renderizado CSS/Canvas.;Completado;Implementado con CHECK constraint (color_route ~ '^#[0-9A-Fa-f]{6}$')
9;Prevención de Pérdida de Progreso;Si el usuario se encuentra en un flujo activo de "Trazado de Ruta" (con waypoints temporales no persistidos en BD) e intenta abandonar la vista o cambiar abruptamente de módulo, el sistema debe retener temporalmente los puntos de memoria o exigir validación para no frustrar el trabajo de digitalización.;Pendiente;El cambio de tabs "Rutas/Paradas" destruye el trazado temporal actual sin advertencia
10;Observabilidad y Depuración (Logging);Los componentes encargados del procesamiento espacial en frontend (cálculos de distancia, transformaciones OSRM a L.LatLng, recálculos de orden) deben generar trazas de consola (console logs estructurados) en entornos de desarrollo para permitir un rastreo efectivo de los cuellos de botella algorítmicos durante la interacción.;Completado;Abundante logging existente en las rutinas pesadas del MapComponent y routeUtils
