Id;Atributo de Calidad;Requerimiento No Funcional Detallado;Origen;Estado Actual;Observaciones
1;Integridad de Datos;Los números de placa de los buses deben forzarse y almacenarse en mayúsculas automáticamente para asegurar búsquedas y unicidad.;Documentado;Completado;
2;Borrado Seguro (Soft Delete);El software implementará la inactivación lógica en la base de datos (is_active) para no destruir historiales de viajes asociados al bus.;Documentado;Completado;
3;UX Visual;La interfaz de listado deberá mostrar el texto de la placa del vehículo sobre un icono distintivo de bus para facilitar escaneo rápido por el ojo.;Documentado;Completado;
4;Rendimiento DTO JSON;Las peticiones a la API del backend para obtener el listado de buses deben condensar datos relacionados (propietario, marca) vía JOINs para enviar un solo payload JSON eficiente al frontend.;Descubierto;Completado;
5;Seguridad (Regex Inyección);Las entradas para las Placas y Códigos AMB deben ser validadas en frontend (Vue) y fuertemente bloqueadas en backend mediante expresiones regulares robustas para impedir inyecciones SQL.;Descubierto;Completado;Implementado con check constraints en PG
6;Transaccionalidad (ACID);El alta o actualización compleja de un bus (combinando datos básicos, seguros y documentos anexos) debe ejecutarse siempre en un bloque atómico de base de datos (Stored Procedure / Begin-Commit) para evitar registros huérfanos.;Descubierto;Completado;Abstracción con fun_create_bus_v2
7;Seguridad Autorización (RBAC);Los endpoints de modificación (POST, PUT, DELETE lógico) del módulo de flota deben estar estrictamente validados por middlewares de JWT verificando roles administrativos.;Descubierto;Completado;
8;Mantenibilidad Algorítmica;Se deben separar drásticamente las reglas de validación y limpieza de datos del Bus de las operaciones de INSERCIÓN propiamente dichas, evitando funciones PL/PGSQL espagueti.;Descubierto;Completado;Extracción a fun_validate_bus_data.sql
9;Auditoría (Trail Tracking);Todo evento de modificación, borrado físico de DBAs o cambios en pólizas del bus se registrará obligatoriamente en tab_audit_log grabando ID, datos previos, nuevos y usuario.;Descubierto;Completado;Trigger activo fun_audit_full
10;Integridad Referencial Preventiva;Los Constraints de BD deben prevenir mediante ON DELETE RESTRICT que se borre un propietario si tiene buses asociados, o un estado de bus si hay buses que lo ostentan.;Descubierto;Completado;Restricciones configuradas
11;Rendimiento de Catálogos Front;Para evitar re-fetches costosos de red, los listados dependientes del Bus (Marcas, Empresas, Dueños, Aseguradoras) deben cargarse una sola vez al entrar al módulo y residir en la memoria cacheada del store (Pinia).;Descubierto;Parcial;
12;Usabilidad (Validación Tiempo Real);El cliente debe informar inmediatamente con feedback si el usuario teclea una placa repetida en el formulario, sin esperar al submit final.;Descubierto;Pendiente;
13;Usabilidad (Traducción Errores);El backend o interceptor cliente debe atrapar las excepciones de Postgres (ej. violar capacidad >70) y convertirlas a notificaciones Toast amistosas en español.;Descubierto;Pendiente;Las excepciones directas de PGSQL a veces estallan crudas en UI
